Country,Year,life_expectancy,gdp_per_capita,population,infant_mortality,health_exp_pct_gdp,physicians_per_1000,co2_per_capita,electricity_access_pct,literacy_rate,unemployment_rate,last_updated
Argentina,2001,,66428.3,1230630970,46.6,10.28,2.59,6.41,49.1,,18.5,2023-03-30
Argentina,2002,65.5,48763.62,884014920,48.2,13.24,1.44,10.3,19.4,56.9,15.1,2023-03-31
Argentina,2003,83.3,48251.76,1041159685,41.5,12.15,0.44,5.16,42.6,63.1,2.3,2023-03-31
Argentina,2005,84.0,26842.09,675116460,17.3,11.77,1.7,4.22,56.5,,1.2,2023-04-01
Argentina,2006,51.3,9088.05,474735478,64.6,11.15,3.09,5.94,93.9,57.8,3.5,2023-04-01
Argentina,2007,54.0,27945.24,710623008,70.2,9.9,4.22,19.86,21.8,49.2,12.4,2023-04-02
Argentina,2008,64.4,72655.07,999788685,49.4,6.95,,19.11,83.9,30.1,19.5,2023-04-02
Argentina,2010,52.1,48501.74,961382583,10.9,8.14,2.75,7.44,20.9,59.3,22.8,2023-04-03
Argentina,2013,83.0,53651.53,950298604,,11.5,0.08,12.76,92.2,72.9,26.3,2023-04-03
Argentina,2014,54.2,72245.04,93488160,43.6,,0.09,8.5,36.6,64.0,,2023-04-03
Argentina,2017,62.0,58469.29,913382162,68.0,13.08,2.59,13.49,34.8,,23.9,2023-04-04
Argentina,2018,77.9,65882.58,1200658491,73.5,8.9,1.93,11.69,43.4,72.1,21.5,2023-04-04
Argentina,2019,63.1,13765.39,603025809,13.1,16.24,2.09,3.17,12.3,,19.5,2023-04-05
Argentina,2020,52.5,33065.5,436048884,54.8,11.69,2.2,4.44,,,21.0,2023-04-05
Argentina,2022,51.0,40683.68,1349642361,32.0,2.62,0.21,7.82,24.4,31.6,22.9,2023-04-06
Argentina,2023,60.1,72056.61,163036474,76.6,7.02,5.33,12.1,84.4,98.9,9.4,2023-04-06
Australia,2000,57.8,74709.68,482762935,14.6,11.01,5.66,0.18,31.4,95.7,6.0,2023-09-23
Australia,2002,,38430.23,1392392677,55.0,3.19,5.96,8.22,35.9,69.1,9.8,2023-09-24
Australia,2005,79.3,45999.06,1398890614,24.4,6.49,0.98,3.36,35.7,,,2023-09-24
Australia,2006,58.1,70563.15,459892997,10.8,15.92,3.82,3.38,48.7,50.1,22.4,2023-09-25
Australia,2007,,4852.23,497343864,,10.05,1.91,14.61,88.7,95.7,24.3,2023-09-25
Australia,2008,69.3,66158.11,425253720,33.1,7.07,2.81,5.78,96.5,51.9,3.8,2023-09-26
Australia,2009,52.0,9288.18,307535450,38.2,8.93,4.8,14.82,48.4,53.4,10.2,2023-09-26
Australia,2010,51.8,1519.32,1113864376,39.2,4.09,1.43,18.66,87.4,79.7,15.0,2023-09-27
Australia,2011,84.1,77279.0,301769029,65.3,5.16,1.3,,46.5,95.2,3.6,2023-09-27
Australia,2012,82.1,72377.04,219562634,30.6,11.91,0.97,19.36,92.3,,4.5,2023-09-27
Australia,2014,56.8,33594.65,628667486,,3.15,1.38,18.64,91.8,84.7,1.6,2023-09-28
Australia,2015,72.0,22377.62,1273466579,51.4,3.15,5.46,19.16,17.0,67.3,9.8,2023-09-28
Australia,2016,56.3,46456.73,1341192104,41.2,3.33,3.73,6.87,87.0,60.4,6.6,2023-09-29
Australia,2017,76.9,21614.21,1074243135,,7.15,2.8,18.87,,44.5,11.4,2023-09-29
Australia,2019,66.1,72110.43,1302042526,31.9,9.87,5.38,16.15,10.3,52.4,13.2,2023-09-30
Australia,2020,57.0,3503.87,900895930,22.5,2.84,1.4,16.06,86.6,63.8,13.1,2023-09-30
Australia,2021,57.0,17621.06,408968114,15.5,8.07,,12.35,47.1,95.4,2.4,2023-10-01
Australia,2022,69.8,49436.43,55860730,,,4.19,12.8,38.9,36.5,13.4,2023-10-01
Bangladesh,2000,,3461.68,37373091,59.7,7.09,4.78,,50.8,65.9,21.7,2024-02-19
Bangladesh,2001,54.3,44706.56,458105183,36.5,12.35,2.97,12.44,59.0,81.8,21.5,2024-02-20
Bangladesh,2002,73.8,69947.99,605463667,34.2,14.23,3.5,1.51,90.3,32.2,22.7,2024-02-20
Bangladesh,2003,83.4,4803.69,835801176,35.4,7.29,0.56,,53.1,37.3,18.8,2024-02-20
Bangladesh,2004,76.9,,573554303,76.3,15.85,1.79,3.27,,58.1,17.7,2024-02-21
Bangladesh,2005,,41036.25,147199285,,6.96,5.83,2.45,96.2,36.4,7.7,2024-02-21
Bangladesh,2007,79.8,35008.65,1299966644,48.0,12.08,5.08,6.01,41.9,93.4,27.1,2024-02-22
Bangladesh,2008,81.6,,1153302138,,17.85,2.84,11.12,57.7,52.5,3.2,2024-02-22
Bangladesh,2009,78.1,11592.38,1087587195,50.8,8.55,1.54,17.21,73.0,68.3,18.7,2024-02-23
Bangladesh,2011,56.8,17066.5,925994895,73.1,8.46,1.26,13.01,88.4,82.4,26.2,2024-02-23
Bangladesh,2012,76.3,11635.13,487910324,32.4,,5.58,17.5,22.1,42.1,11.4,2024-02-24
Bangladesh,2013,71.5,72270.7,1347227012,53.0,15.41,3.16,4.25,57.2,,22.5,2024-02-24
Bangladesh,2014,62.9,29440.18,1343235714,36.6,,,5.38,61.5,92.6,14.8,2024-02-24
Bangladesh,2015,57.5,6395.65,1248089695,68.1,17.88,4.08,18.74,84.4,,17.5,2024-02-25
Bangladesh,2015,57.5,6395.65,1248089695,68.1,17.88,4.08,18.74,84.4,89.1,17.5,2024-06-25
Bangladesh,2016,82.7,34853.32,754577704,36.8,11.04,2.83,,89.4,,18.1,2024-02-25
Bangladesh,2019,74.7,8385.97,1272487972,18.8,5.27,1.11,0.38,79.5,91.3,18.8,2024-02-26
Bangladesh,2020,60.0,38336.17,1336107159,21.3,13.71,2.65,6.03,51.0,35.0,24.2,2024-02-26
Bangladesh,2021,75.4,5933.7,1337160429,17.1,,4.86,19.36,53.0,80.9,11.8,2024-02-27
Bangladesh,2022,65.5,13677.05,1374871449,9.5,11.43,3.77,10.81,69.6,38.1,17.1,2024-02-27
Bangladesh,2023,82.9,61084.7,1361534017,,6.56,1.19,0.32,31.8,77.5,,2024-02-27
Brazil,2000,73.8,3813.0,119166426,57.9,3.15,0.45,0.34,96.1,81.6,11.2,2023-03-12
Brazil,2000,81.5,2234.96,929473665,77.1,10.96,5.62,1.14,,48.2,22.2,2023-03-21
Brazil,2001,62.2,62084.96,926088170,16.4,4.79,0.61,13.24,78.8,48.6,1.6,2023-03-13
Brazil,2001,,52506.88,277737637,46.1,9.42,5.83,12.21,41.5,38.0,5.4,2023-03-22
Brazil,2002,58.8,68123.98,785931292,42.8,3.84,5.16,14.48,,79.5,16.8,2023-03-22
Brazil,2003,,61653.24,874716664,,5.29,0.75,12.34,79.7,75.1,16.4,2023-03-13
Brazil,2004,67.0,13679.08,1324004556,,12.7,2.78,8.29,,68.2,2.8,2023-03-22
Brazil,2005,78.2,37009.57,73213230,,5.22,1.57,3.38,39.7,83.0,16.1,2023-03-23
Brazil,2005,78.0,23779.35,1371968475,48.9,11.32,4.49,16.25,69.1,39.0,10.8,2023-03-14
Brazil,2006,80.7,70426.76,1218874505,20.6,9.22,5.91,15.46,12.4,,14.5,2023-03-23
Brazil,2006,57.9,30087.28,605191597,36.3,11.81,5.66,4.89,20.9,43.8,26.7,2023-03-14
Brazil,2007,68.9,40076.09,148110443,53.2,15.15,2.29,15.53,96.8,44.3,16.2,2023-03-24
Brazil,2007,60.0,65367.78,1205987309,68.0,16.7,1.53,15.13,51.4,88.9,22.1,2023-03-15
Brazil,2008,77.7,46418.67,888598093,64.2,8.34,5.49,10.71,,78.7,24.0,2023-03-24
Brazil,2008,73.0,14605.59,763265172,78.8,17.0,0.28,,21.9,80.8,24.7,2023-03-15
Brazil,2009,80.0,72538.39,388027830,78.7,4.25,1.23,3.77,90.5,75.8,5.4,2023-03-25
Brazil,2009,,67335.89,1026055761,44.3,11.45,3.06,,60.9,78.2,26.3,2023-03-15
Brazil,2010,76.6,13225.69,646449685,2.7,5.95,4.36,19.84,18.9,58.1,24.2,2023-03-16
Brazil,2010,71.5,7135.39,1235441707,64.7,10.08,5.8,8.41,98.6,76.8,19.4,2023-03-25
Brazil,2011,80.9,34485.43,227545651,3.0,10.96,3.17,14.42,90.1,35.6,22.2,2023-03-26
Brazil,2011,,58779.17,862571637,,7.69,4.71,11.13,10.5,83.3,2.0,2023-03-16
Brazil,2012,57.1,76667.0,515433081,,4.38,1.85,17.55,99.7,55.8,14.0,2023-03-17
Brazil,2012,80.0,65615.55,757340860,57.4,7.03,2.84,16.45,,55.0,15.3,2023-03-26
Brazil,2013,61.7,14314.05,996963621,66.4,3.61,1.45,2.93,41.3,61.5,22.7,2023-03-26
Brazil,2013,81.0,47647.02,548440214,34.2,13.13,0.04,12.43,42.0,85.6,3.7,2023-03-17
Brazil,2014,71.7,28513.81,1178105850,38.8,17.67,3.81,2.61,70.9,52.8,,2023-03-27
Brazil,2014,66.8,51564.88,91262605,47.2,10.98,3.37,12.11,70.9,,,2023-03-18
Brazil,2015,67.4,6626.13,82442025,,,4.25,15.79,56.6,,5.3,2023-03-18
Brazil,2016,80.0,18560.77,1171939054,23.8,12.29,4.17,10.3,37.5,44.9,2.0,2023-03-27
Brazil,2016,65.2,7544.0,309246427,48.7,13.77,5.99,18.67,67.8,59.5,19.4,2023-03-18
Brazil,2017,54.1,33087.44,1175803298,31.9,11.15,3.53,3.77,42.6,,1.8,2023-03-19
Brazil,2017,72.9,75095.23,1219750672,61.8,14.62,4.0,5.28,91.6,,17.3,2023-03-28
Brazil,2019,66.1,69232.81,765534184,31.7,17.63,0.68,8.51,13.8,81.8,27.6,2023-03-28
Brazil,2019,59.6,41687.26,418566440,75.4,6.15,2.59,17.47,85.8,43.0,24.3,2023-03-19
Brazil,2020,66.9,11111.66,113301818,,9.94,,14.62,78.9,41.1,18.7,2023-03-20
Brazil,2020,80.0,23731.35,1275122841,60.8,,0.13,19.26,75.4,,25.1,2023-03-29
Brazil,2021,80.5,9450.14,985308525,44.2,3.54,1.47,0.35,52.2,51.1,18.4,2023-03-29
Brazil,2022,73.0,76550.86,97006743,6.5,6.51,1.58,5.01,91.6,,8.9,2023-03-20
Brazil,2022,60.5,59583.86,67875898,72.4,15.64,4.01,11.91,90.3,43.0,3.3,2023-03-30
Brazil,2023,77.8,3256.29,816138165,79.6,15.69,3.14,1.37,84.8,71.9,4.3,2023-03-30
Brazil,2023,65.7,62248.49,91979937,40.0,2.54,0.39,18.14,22.5,67.3,12.9,2023-03-21
Canada,2000,,3846.41,25514571,79.0,8.84,2.32,13.62,29.6,96.5,23.8,2023-02-12
Canada,2001,69.8,5723.84,1085850899,37.4,10.39,2.66,8.08,60.4,40.9,6.3,2023-02-03
Canada,2002,83.1,30178.09,379407170,52.2,8.54,0.17,3.21,74.4,76.1,1.8,2023-02-04
Canada,2002,80.8,75606.2,654628414,,4.67,5.95,4.71,94.8,75.5,18.6,2023-02-12
Canada,2003,58.1,14533.98,309070449,16.5,14.47,2.11,1.25,97.2,91.9,27.9,2023-02-12
Canada,2003,58.1,,28084897,10.1,14.8,1.09,13.09,31.4,37.0,8.1,2023-02-04
Canada,2004,79.9,66502.48,556358349,,5.28,1.77,17.94,11.2,36.0,7.0,2023-02-04
Canada,2004,,32001.24,1061654746,56.3,4.46,4.9,4.57,30.1,67.6,18.2,2023-02-13
